ISBN.10,ISBN.13,Language,author,image_url,name,review_url,url
316387312,978-0316387316,english,Joe Abercrombie,"https://images-na.ssl-images-amazon.com/images/I/61QA2ffwWlL._SX322_BO1,204,203,200_.jpg",The Blade Itself (The First Law),https://www.amazon.com/Blade-Itself-First-Law/product-reviews/0316387312/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Blade-Itself-First-Law/dp/0316387312
64400859,978-0064400855,english,Laurence Yep,"https://images-na.ssl-images-amazon.com/images/I/51rWmWPfIcL._SY344_BO1,204,203,200_.jpg",Dragonwings,https://www.amazon.com/Dragonwings-Laurence-Yep/product-reviews/0064400859/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Dragonwings-Laurence-Yep/dp/0064400859
031650159X,978-0316501590,english,Kumo Kagyu,"https://images-na.ssl-images-amazon.com/images/I/51QX5zAKa%2BL._SY344_BO1,204,203,200_.jpg","Goblin Slayer, Vol. 1 (light novel) (Goblin Slayer (Light Novel))",https://www.amazon.com/Goblin-Slayer-light-novel-Light/product-reviews/031650159X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Goblin-Slayer-light-novel-Light/dp/031650159X
1601252994,978-1601252999,english,Jason Bulmahn,"https://images-na.ssl-images-amazon.com/images/I/61bFUdeFqaL._SX258_BO1,204,203,200_.jpg",Pathfinder Roleplaying Game: Ultimate Magic,https://www.amazon.com/Pathfinder-Roleplaying-Game-Ultimate-Magic/product-reviews/1601252994/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Pathfinder-Roleplaying-Game-Ultimate-Magic/dp/1601252994
345456319,978-0345456311,english,David Eddings,"https://images-na.ssl-images-amazon.com/images/I/51I5sYWNXhL._SX330_BO1,204,203,200_.jpg","The Belgariad, Vol. 2 (Books 4 & 5): Castle of Wizardry, Enchanters' End Game",https://www.amazon.com/Belgariad-Vol-Books-Wizardry-Enchanters/product-reviews/0345456319/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Belgariad-Vol-Books-Wizardry-Enchanters/dp/0345456319
1452133212,978-1452133218,english,Daniel Wallace,"https://images-na.ssl-images-amazon.com/images/I/51GT7SdXd9L._SY344_BO1,204,203,200_.jpg",Star Wars®: The Bounty Hunter Code,https://www.amazon.com/Star-Wars®-Bounty-Hunter-Code/product-reviews/1452133212/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Star-Wars%C2%AE-Bounty-Hunter-Code/dp/1452133212
316387355,978-0316387354,english,Joe Abercrombie,"https://images-na.ssl-images-amazon.com/images/I/615XgHwlMtL._SY344_BO1,204,203,200_.jpg",Before They Are Hanged (The First Law),https://www.amazon.com/Before-They-Are-Hanged-First/product-reviews/0316387355/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Before-They-Are-Hanged-First/dp/0316387355
152473182X,978-1524731823,english,Daryl Gregory,"https://images-na.ssl-images-amazon.com/images/I/51MK1Q2n2yL._SX334_BO1,204,203,200_.jpg",Spoonbenders: A novel,https://www.amazon.com/Spoonbenders-novel-Daryl-Gregory/product-reviews/152473182X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Spoonbenders-novel-Daryl-Gregory/dp/152473182X
679723110,978-0679723110,english,John Gardner,"https://images-na.ssl-images-amazon.com/images/I/51PUofogt3L._SY344_BO1,204,203,200_.jpg",Grendel,https://www.amazon.com/Grendel-John-Gardner/product-reviews/0679723110/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Grendel-John-Gardner/dp/0679723110
1593073305,978-1593073305,english,Kentaro Miura,"https://images-na.ssl-images-amazon.com/images/I/51OggiGHp2L._SX351_BO1,204,203,200_.jpg","Berserk, Vol. 9",https://www.amazon.com/Berserk-Vol-9-Kentaro-Miura/product-reviews/1593073305/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Berserk-Vol-9-Kentaro-Miura/dp/1593073305
142181307,978-0142181300,english,A. American,"https://images-na.ssl-images-amazon.com/images/I/61qFIQuc4pL._SY344_BO1,204,203,200_.jpg",Forsaking Home (The Survivalist Series),https://www.amazon.com/Forsaking-Home-Survivalist-American/product-reviews/0142181307/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Forsaking-Home-Survivalist-American/dp/0142181307
553392964,978-0553392968,english,Robin Hobb,"https://images-na.ssl-images-amazon.com/images/I/51bwr0u8iXL._SX303_BO1,204,203,200_.jpg",Assassin's Fate: Book III of the Fitz and the Fool trilogy,https://www.amazon.com/Assassins-Fate-Book-Fitz-trilogy/product-reviews/0553392964/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Assassins-Fate-Book-Fitz-trilogy/dp/0553392964
1501192272,978-1501192272,english,Stephen King,"https://images-na.ssl-images-amazon.com/images/I/515KhD6OwDL._SY344_BO1,204,203,200_.jpg",The Talisman: A Novel,https://www.amazon.com/Talisman-Novel-Stephen-King/product-reviews/1501192272/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Talisman-Novel-Stephen-King/dp/1501192272
547572174,978-0547572178,english,Philip K. Dick,"https://images-na.ssl-images-amazon.com/images/I/41Orb0JE7yL._SX330_BO1,204,203,200_.jpg",A Scanner Darkly,https://www.amazon.com/Scanner-Darkly-Philip-K-Dick/product-reviews/0547572174/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Scanner-Darkly-Philip-K-Dick/dp/0547572174
743234928,978-0743234924,english,C.S. Lewis,"https://images-na.ssl-images-amazon.com/images/I/51QY8PNFSAL._SY344_BO1,204,203,200_.jpg","That Hideous Strength (Space Trilogy, Book 3)",https://www.amazon.com/That-Hideous-Strength-Space-Trilogy/product-reviews/0743234928/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/That-Hideous-Strength-Space-Trilogy/dp/0743234928
1401230431,978-1401230432,english,Neil Gaiman,"https://images-na.ssl-images-amazon.com/images/I/51loec3qm0L._SY344_BO1,204,203,200_.jpg","The Sandman, Vol. 5: A Game of You",https://www.amazon.com/Sandman-Vol-Game-You/product-reviews/1401230431/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Sandman-Vol-Game-You/dp/1401230431
786939834,978-0786939831,english,R.A. Salvatore,"https://images-na.ssl-images-amazon.com/images/I/51MHC5A5MHL._SX302_BO1,204,203,200_.jpg",Exile (The Legend of Drizzt),https://www.amazon.com/Exile-Legend-Drizzt-R-Salvatore/product-reviews/0786939834/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Exile-Legend-Drizzt-R-Salvatore/dp/0786939834
316562645,978-0316562645,english,Fujino Omori,"https://images-na.ssl-images-amazon.com/images/I/51j-kgXO6NL._SX331_BO1,204,203,200_.jpg","Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 9 (light novel) (Is It Wrong to Pick Up Girls in a Dungeon?)",https://www.amazon.com/Wrong-Girls-Dungeon-light-novel/product-reviews/0316562645/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Wrong-Girls-Dungeon-light-novel/dp/0316562645
048627263X,978-0486272634,english,Edwin A. Abbott,"https://images-na.ssl-images-amazon.com/images/I/41SHvEhqUOL._SX310_BO1,204,203,200_.jpg",Flatland: A Romance of Many Dimensions (Dover Thrift Editions),https://www.amazon.com/Flatland-Romance-Dimensions-Thrift-Editions/product-reviews/048627263X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Flatland-Romance-Dimensions-Thrift-Editions/dp/048627263X
1593077459,978-1593077457,english,Kentaro Miura,"https://images-na.ssl-images-amazon.com/images/I/51o51f1bnwL._SY344_BO1,204,203,200_.jpg","Berserk, Vol. 20",https://www.amazon.com/Berserk-Vol-20-Kentaro-Miura/product-reviews/1593077459/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Berserk-Vol-20-Kentaro-Miura/dp/1593077459
1596068647,978-1596068643,english,Aliette de Bodard,"https://images-na.ssl-images-amazon.com/images/I/61QS58SGtuL._SX338_BO1,204,203,200_.jpg",The Tea Master and the Detective,https://www.amazon.com/Tea-Master-Detective-Aliette-Bodard/product-reviews/1596068647/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Tea-Master-Detective-Aliette-Bodard/dp/1596068647
1476799229,978-1476799223,english,Alice Hoffman,"https://images-na.ssl-images-amazon.com/images/I/51B8ImI53NL._SY344_BO1,204,203,200_.jpg",Faithful: A Novel,https://www.amazon.com/Faithful-Novel-Alice-Hoffman/product-reviews/1476799229/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Faithful-Novel-Alice-Hoffman/dp/1476799229
1632153661,978-1632153661,english,Kelly Sue DeConnick,"https://images-na.ssl-images-amazon.com/images/I/61ZdquLcRSL._SY344_BO1,204,203,200_.jpg","Bitch Planet, Vol. 1: Extraordinary Machine",https://www.amazon.com/Bitch-Planet-Vol-Extraordinary-Machine/product-reviews/1632153661/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Bitch-Planet-Vol-Extraordinary-Machine/dp/1632153661
1632365987,978-1632365989,english,Yukito Kishiro,"https://images-na.ssl-images-amazon.com/images/I/51yCu%2B8uLDL._SY344_BO1,204,203,200_.jpg",Battle Angel Alita Deluxe Edition 1,https://www.amazon.com/Battle-Angel-Alita-Deluxe-1/product-reviews/1632365987/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Battle-Angel-Alita-Deluxe-1/dp/1632365987
765396378,978-0765396372,english,Steven Brust,"https://images-na.ssl-images-amazon.com/images/I/51vjmz6zPHL._SY344_BO1,204,203,200_.jpg",Good Guys,https://www.amazon.com/Good-Guys-Steven-Brust/product-reviews/0765396378/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Good-Guys-Steven-Brust/dp/0765396378
1401246028,978-1401246020,english,Scott Snyder,"https://images-na.ssl-images-amazon.com/images/I/51hu37a5uAL._SY344_BO1,204,203,200_.jpg",Batman Vol. 3: Death of the Family (The New 52) (Batman (DC Comics Paperback)),https://www.amazon.com/Batman-Vol-Family-Comics-Paperback/product-reviews/1401246028/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Batman-Vol-Family-Comics-Paperback/dp/1401246028
